,Unnamed: 0,StockName,AvgGain
439,439,CTXS,-0.07711241753948386
361,361,ILMN,-0.07707921340299488
283,283,MAS,-0.07690875749271214
286,286,HCA,-0.07629812023945083
351,351,SBAC,-0.0761253948040386
500,500,MSI,-0.0759997398943166
72,72,J,-0.07573785569616201
57,57,ICE,-0.07566078566409226
142,142,LOW,-0.07563458095935383
147,147,HD,-0.07478979333304152
60,60,MGM,-0.07442237336135935
340,340,VMC,-0.07413601537083751
267,267,CMG,-0.07391447885890892
143,143,AJG,-0.07379034204655317
70,70,PHM,-0.07356061647970119
140,140,ORLY,-0.07348682488721643
489,489,COST,-0.073455735585476
103,103,MKC,-0.07344988837481098
191,191,TGT,-0.07337675797417306
307,307,JKHY,-0.07315484281651058
47,47,QCOM,-0.07307818419164007
20,20,IEX,-0.07304644905646847
106,106,VRTX,-0.07267124513355787
246,246,LLY,-0.07228236156585204
168,168,EFX,-0.07226756188867729
319,319,CE,-0.07172394933332019
497,497,ROK,-0.07162010508854824
381,381,ABT,-0.07123350125904633
318,318,APH,-0.07057236352908758
483,483,PH,-0.07056736204746909
249,249,VAR,-0.07035653927239208
460,460,GRMN,-0.06949679157684585
173,173,NSC,-0.0693306331066408
222,222,STZ,-0.06912047020923237
478,478,BA,-0.06898854535924627
75,75,PLD,-0.06865955753061256
43,43,AME,-0.06863818920519027
195,195,COO,-0.0678025623208673
355,355,DOV,-0.06757708234245573
225,225,FIS,-0.06749869033252727
347,347,CI,-0.06715335868552066
495,495,HLT,-0.06655850201040524
221,221,EBAY,-0.06625292833292208
401,401,AMT,-0.06617784064585729
403,403,MCD,-0.06519227574006049
102,102,WAT,-0.06511241017607815
124,124,FTV,-0.06471533539094197
456,456,HON,-0.06468291426237331
378,378,RSG,-0.0646318499688981
391,391,LEN,-0.06444963443945959
73,73,BKNG,-0.06417681266525642
164,164,JPM,-0.06403274256929062
345,345,CAT,-0.06386816186084526
133,133,FAST,-0.06379787952720455
284,284,AON,-0.06362543599074906
305,305,FBHS,-0.06353612337795539
399,399,ALLE,-0.06352155401882674
300,300,ITW,-0.0633477199369445
384,384,SWK,-0.06332683995477488
121,121,DLR,-0.0632721286150899
291,291,CBRE,-0.0630984461293543
315,315,EXPE,-0.06294067244137827
431,431,SYY,-0.06283169978222973
16,16,YUM,-0.06265855889749038
181,181,ADP,-0.06252888510722122
343,343,BLK,-0.06229417175195845
216,216,WM,-0.06221610273760141
175,175,AIZ,-0.06193191447730283
134,134,CME,-0.06187970726934362
169,169,CHD,-0.06187152387989146
26,26,TJX,-0.061777943620181776
397,397,ECL,-0.061036693997790166
417,417,EXPD,-0.060599822888731614
288,288,VIAC,-0.060511627844208674
126,126,NOC,-0.060495661171682286
261,261,SCHW,-0.06038018515490346
427,427,FLT,-0.06030558390986445
83,83,MS,-0.060056977357019675
18,18,IT,-0.05950936730825961
109,109,PAYX,-0.059210653834516215
254,254,APD,-0.059174028252369774
320,320,MAR,-0.058730416334042364
205,205,AOS,-0.05861374985901981
119,119,TEL,-0.058075019435010075
443,443,DIS,-0.0580195665219326
206,206,HAS,-0.05795902528410603
192,192,LIN,-0.057897581919674125
64,64,AES,-0.05779493496264331
479,479,AZO,-0.0576456320942267
111,111,RF,-0.0575457352334052
88,88,BAX,-0.057482500940904326
298,298,DRE,-0.05745699016579162
245,245,CCI,-0.05742485962511142
312,312,EXR,-0.057329647464756564
210,210,BAC,-0.057091663362232925
202,202,WRB,-0.0570503041098116
139,139,ARE,-0.0569451316633974
334,334,NTAP,-0.05676982724608631
187,187,MMC,-0.056274755989107264
149,149,LH,-0.055799245538226905
253,253,TSCO,-0.05562858065089448
84,84,CFG,-0.05554023417485562
287,287,AKAM,-0.055515090158261206
485,485,RJF,-0.05542306817213316
226,226,PKG,-0.05526741666146162
352,352,ETN,-0.05465938659060356
172,172,NRG,-0.05460369524816669
414,414,DFS,-0.05382374903397905
273,273,KSU,-0.053781898853188716
317,317,AMP,-0.053078056077549035
429,429,TROW,-0.05306553761324436
229,229,CLX,-0.052955640601842435
410,410,UNP,-0.05223378503397896
498,498,CMCSA,-0.052149589548387484
159,159,ZION,-0.05211302433577923
137,137,CINF,-0.051773815007979083
477,477,RCL,-0.05147886302603051
213,213,GL,-0.05134844202494336
54,54,LMT,-0.05104336025606343
184,184,PNC,-0.05100924297134712
493,493,TSN,-0.050232506294052966
122,122,XEL,-0.05001009798136294
482,482,ABBV,-0.04982308481097168
89,89,DLTR,-0.04974656780012165
196,196,WLTW,-0.04974052021511407
329,329,FITB,-0.049541889990464966
112,112,GWW,-0.049167070567080605
289,289,BDX,-0.049028578957732584
413,413,HRL,-0.04897422979746741
376,376,DGX,-0.04869140153858437
450,450,GLW,-0.04838775130482386
71,71,KMX,-0.04767323079791086
234,234,WEC,-0.047055216728028634
370,370,FDX,-0.04683689544764031
209,209,CTSH,-0.046824138169884434
336,336,FANG,-0.04664296190293578
382,382,JBHT,-0.04657788710088365
236,236,INCY,-0.046484658297189264
114,114,MAA,-0.04648283407629246
328,328,CSCO,-0.046232967452663545
74,74,DVA,-0.046232661156300835
7,7,CMS,-0.045957955755628235
442,442,AEE,-0.045875583099857606
151,151,ATO,-0.045602759139647724
471,471,HII,-0.04531985335659528
474,474,CMI,-0.044593297182624884
350,350,HPQ,-0.04416940291735217
368,368,CMA,-0.043856057127778576
51,51,WMT,-0.04385021171117853
430,430,MDT,-0.04362055994592828
389,389,HPE,-0.043053891677055166
452,452,ES,-0.04274312022272882
359,359,VLO,-0.04240188436437286
61,61,KEY,-0.042056134065359005
346,346,SYF,-0.041982289084858286
204,204,INTC,-0.04124381744004914
293,293,MDLZ,-0.041226670383438864
321,321,DXC,-0.041055200194098335
311,311,ALL,-0.04095997109877975
492,492,LKQ,-0.0407892404343245
306,306,FLIR,-0.0407365313667496
496,496,AFL,-0.0404681699941374
138,138,UPS,-0.04025777409875948
176,176,UHS,-0.039850331998326334
158,158,NTRS,-0.03965826809195952
198,198,WYNN,-0.039629006546884435
395,395,COF,-0.03959795836929901
301,301,LNT,-0.038602528512874566
219,219,GS,-0.038569995199559115
97,97,LYB,-0.03836568432395192
116,116,CBOE,-0.03828996441543993
203,203,PEP,-0.03782525010509493
390,390,AMGN,-0.03782007430292773
28,28,AXP,-0.03762881279562148
144,144,ORCL,-0.037577365405205336
412,412,ZBH,-0.03704961314502368
405,405,HBAN,-0.036581183195457716
275,275,FFIV,-0.03656593113419994
487,487,HSY,-0.03655530218505408
421,421,EMN,-0.036472601389148734
272,272,TFC,-0.0362231160417264
302,302,PG,-0.0361136765946252
100,100,LNC,-0.03567620822701524
256,256,RE,-0.035624400266091205
37,37,GM,-0.035114531099525774
297,297,EMR,-0.03500666806822143
129,129,MPC,-0.034987759317787546
45,45,VFC,-0.034894843470830814
354,354,REGN,-0.03477944465075521
157,157,JNJ,-0.03457457423422545
488,488,TXT,-0.03454216364567058
53,53,O,-0.03429716546425573
360,360,NI,-0.03400907024296418
14,14,C,-0.033878493673439466
341,341,DTE,-0.033859747216635434
190,190,NCLH,-0.03367439227967639
2,2,MRK,-0.03336700217525624
377,377,TIF,-0.033099446148147006
314,314,CAG,-0.032976866347582866
464,464,OKE,-0.03284627968516673
98,98,EVRG,-0.03248096427049816
90,90,LUMN,-0.0324129698625161
437,437,PEG,-0.032391756969504734
232,232,CB,-0.031920865551969844
105,105,TRV,-0.03184373192973946
294,294,LUV,-0.03155744697147203
278,278,LVS,-0.031067134982563888
432,432,SNA,-0.03104565514615344
420,420,HIG,-0.0309364781138564
457,457,IPG,-0.0304583325143937
279,279,STX,-0.03007472406284136
5,5,NWS,-0.02998134867995617
455,455,AEP,-0.029702772224049694
128,128,PCAR,-0.0293451948675858
201,201,HSIC,-0.029322205869502238
422,422,PNR,-0.029002192597157993
76,76,PPG,-0.02883325965180874
424,424,TPR,-0.02850048165522221
339,339,NWSA,-0.02832148048045683
1,1,CHRW,-0.02792643173141467
55,55,UDR,-0.027502761866006555
212,212,WU,-0.0268301619246214
358,358,LEG,-0.02662052656966235
392,392,MHK,-0.02628644489963116
21,21,DD,-0.02628347658059988
357,357,NUE,-0.026101465475403818
501,501,RHI,-0.025809684475169875
12,12,SO,-0.02557069230619128
296,296,ALK,-0.02556004255447344
454,454,CERN,-0.025193178647969515
356,356,KO,-0.02480506713668652
386,386,UAL,-0.02479394116558889
426,426,SEE,-0.02407323966676402
388,388,PSA,-0.02401969198721435
239,239,PVH,-0.023936603152553658
94,94,HES,-0.02386041715861209
257,257,PFE,-0.023856302547155355
304,304,AAP,-0.023412709178456392
218,218,PXD,-0.023361681111130805
39,39,PSX,-0.022926363318065083
23,23,MTB,-0.022458946819724317
58,58,CL,-0.022415254147763575
3,3,ABC,-0.02233561351722354
115,115,WHR,-0.022250812530680043
150,150,ESS,-0.02201810783620881
313,313,VZ,-0.021773607449473445
153,153,EXC,-0.0217429122534949
407,407,PFG,-0.021670660607373184
472,472,SRE,-0.02156044065809054
93,93,L,-0.02133813182587457
247,247,PNW,-0.021238379684119183
280,280,DAL,-0.021118578932747045
274,274,ETR,-0.02081705210228515
383,383,MET,-0.02072367395426933
9,9,SJM,-0.02043196424181526
189,189,IFF,-0.019870811160101285
22,22,WY,-0.019433876668088542
91,91,USB,-0.019275773866861717
473,473,KMB,-0.01923270571186416
396,396,BK,-0.019150883088250543
470,470,ALXN,-0.0191103645754468
231,231,CPB,-0.018976713871828296
11,11,HFC,-0.018012906046560806
436,436,STT,-0.017780106687287262
38,38,XRAY,-0.017720517782343327
265,265,NLOK,-0.017460682865873517
136,136,AMCR,-0.017339641684228396
125,125,KR,-0.017206754740823383
251,251,BMY,-0.01678079405623455
326,326,DISCA,-0.016556558721016815
374,374,GIS,-0.0162774038412385
170,170,PRU,-0.016172085116471762
333,333,GD,-0.016112038941006913
95,95,JNPR,-0.01610914835171646
461,461,BIIB,-0.016100516404910108
445,445,RTX,-0.01603437951094455
59,59,ED,-0.015652570346751642
171,171,JCI,-0.015628343639783413
323,323,DUK,-0.015431102603707269
107,107,MMM,-0.015300291572358009
449,449,WELL,-0.01432541392897501
310,310,PM,-0.014195528297950729
223,223,IP,-0.014190137293021031
416,416,EIX,-0.013866795757870505
446,446,CF,-0.012335701415089323
264,264,WAB,-0.012059651326076634
290,290,CNP,-0.011887387458861587
337,337,WRK,-0.011723320912103291
266,266,ADM,-0.011579580967041708
8,8,AVB,-0.011175078422474914
332,332,GPC,-0.011059824758701832
423,423,CCL,-0.010626744236946449
33,33,PBCT,-0.009685869878205336
41,41,D,-0.0090499193451196
447,447,MCK,-0.008721276241924963
108,108,DISCK,-0.008195245065624109
458,458,K,-0.0062968617737430435
146,146,UNM,-0.005689617109504102
406,406,UAA,-0.005016596048375571
228,228,CXO,-0.004891350873978088
69,69,GPS,-0.0028618910098570953
481,481,CVX,-0.0015290286034827993
154,154,OMC,-0.0012368940826296686
118,118,BWA,-0.0009274404191556343
276,276,PPL,-0.0007610536984723262
117,117,PEAK,-0.0006439074538790617
491,491,FE,8.489760805066797e-06
367,367,LB,0.0001801122961513901
270,270,EQR,0.0002193923430009675
484,484,XRX,0.00035454779719387946
438,438,MO,0.00045170901882646134
186,186,VTR,0.0008440785487637684
393,393,T,0.0009743497052370275
152,152,HAL,0.0012990334787109752
120,120,WDC,0.0015362495523524235
165,165,AIG,0.0015639713446322571
13,13,REG,0.0016759673384326328
459,459,COP,0.0018545972610132231
375,375,IRM,0.0030924618617819482
241,241,MOS,0.003506348058686378
400,400,FLS,0.003683614855712311
87,87,WMB,0.003924288106881636
243,243,IBM,0.004082979531151882
462,462,NWL,0.004445563728702407
308,308,BXP,0.004725660218823464
299,299,EOG,0.00505642244898568
448,448,RL,0.005516810966324553
96,96,KIM,0.0070993195317667875
178,178,CVS,0.007268191463297347
444,444,HST,0.00732307234193099
398,398,CAH,0.007410959234478102
42,42,HBI,0.008619247440820531
161,161,FRT,0.01081966173412368
480,480,COG,0.011871020248867915
242,242,APA,0.014844315981237272
230,230,TAP,0.015178649738149443
48,48,F,0.016575122843766204
123,123,SPG,0.016901430542626543
85,85,GILD,0.017096151012827753
65,65,SLG,0.019165439783184017
32,32,WFC,0.019516005566570373
29,29,IVZ,0.0224004794931768
177,177,DISH,0.02296109262489456
200,200,WBA,0.02478626918893638
199,199,BKR,0.025128205499491404
79,79,GE,0.02521844480790316
409,409,DVN,0.025657616625829282
34,34,AAL,0.02572188876808859
419,419,NLSN,0.02591918339001193
240,240,FOXA,0.026107342379582017
78,78,MRO,0.02680013143572814
35,35,BEN,0.032656586925672436
62,62,VNO,0.034042858761360296
428,428,KHC,0.034444274472813764
394,394,FOX,0.035966841513184536
163,163,XOM,0.03833932174565624
131,131,VTRS,0.039267682517309915
476,476,OXY,0.045972259657410135
215,215,KMI,0.0501171177214981
434,434,NOV,0.05548409814814169
285,285,PRGO,0.05625731919027077
194,194,FTI,0.05826935428882193
469,469,SLB,0.05878686141736916
80,80,UA,0.059777566914830674
