,Date,High,Low,Open,Close,Volume,Adj Close,%Gain or %Loss
1251,2019-12-20,139.0,132.5,132.5,138.32000732421878,2012600,138.32000732421878,3.7372085920711444
1252,2019-12-23,140.16999816894528,137.8800048828125,138.57000732421878,139.03999328613278,571200,139.03999328613278,-0.5205219229249864
1253,2019-12-24,139.77000427246094,138.24000549316406,139.60000610351562,138.58999633789062,134200,138.58999633789062,0.3236456918665859
1254,2019-12-26,139.94000244140622,137.78999328613278,138.88999938964844,139.08000183105472,313400,139.08000183105472,-0.35356483592757193
1255,2019-12-27,139.94000244140622,138.33000183105472,139.17999267578122,139.16999816894528,354900,139.16999816894528,-0.06470832377460695
1256,2019-12-30,140.30999755859378,138.27999877929688,139.03999328613278,139.28999328613278,266300,139.28999328613278,-0.08622197223990191
1257,2019-12-31,140.55000305175778,138.75,138.8699951171875,139.64999389648438,333300,139.64999389648438,-0.258454036688816
1258,2020-01-02,141.30999755859375,139.74000549316406,140.41999816894528,140.75999450683594,592200,140.75999450683594,-0.7948447252882452
1259,2020-01-03,140.9499969482422,138.55000305175778,139.80999755859378,140.0,420600,140.0,0.5399222339405737
1260,2020-01-06,139.67999267578122,137.58999633789062,138.80000305175778,138.25,568800,138.25,1.25
1261,2020-01-07,138.08000183105472,136.63999938964844,137.66000366210938,136.99000549316406,463600,136.99000549316406,0.9113884317077307
1262,2020-01-08,137.80999755859378,135.97999572753906,137.53999328613278,136.44000244140622,571400,136.44000244140622,0.40149137141635244
1263,2020-01-09,137.36000061035156,134.64999389648438,137.36000061035156,135.99000549316406,542700,135.99000549316406,0.3298130608253316
1264,2020-01-10,136.78999328613278,134.83000183105472,136.50999450683594,135.14999389648438,357200,135.14999389648438,0.6177009800340902
1265,2020-01-13,136.83999633789062,135.27000427246094,135.44000244140622,136.19999694824222,477400,136.19999694824222,-0.7769168325394606
1266,2020-01-14,137.1199951171875,134.39999389648438,136.14999389648438,136.10000610351562,659000,136.10000610351562,0.07341471877168158
1267,2020-01-15,137.35000610351562,135.41999816894528,135.88999938964844,136.1199951171875,373400,136.1199951171875,-0.014687004243535196
1268,2020-01-16,138.74000549316406,136.92999267578122,137.02999877929688,138.67999267578122,447200,138.67999267578122,-1.8806917796241367
1269,2020-01-17,139.5,136.75,139.24000549316406,137.0,538200,137.0,1.2114167612547126
1270,2020-01-21,136.8800048828125,134.69000244140622,136.49000549316406,135.03999328613278,784800,135.03999328613278,1.4306618349395737
1271,2020-01-22,136.08999633789062,132.27000427246094,135.57000732421878,132.27999877929688,806300,132.27999877929688,2.043834896368683
1272,2020-01-23,134.16999816894528,132.0,132.24000549316406,133.96000671386722,1126100,133.96000671386722,-1.2700392728105157
1273,2020-01-24,136.08000183105472,134.10000610351562,134.41000366210938,135.82000732421878,678700,135.82000732421878,-1.3884745574285045
1274,2020-01-27,134.08999633789062,131.08999633789062,133.83999633789062,132.69999694824222,1663600,132.69999694824222,2.297165518868454
1275,2020-01-28,131.30999755859378,124.52999877929688,125.04000091552734,126.0,2594700,126.0,5.048980484042857
1276,2020-01-29,128.6300048828125,125.22000122070312,126.4800033569336,125.66000366210938,1033200,125.66000366210938,0.26983836340525796
1277,2020-01-30,126.19000244140624,123.11000061035156,124.43000030517578,125.12000274658205,732600,125.12000274658205,0.4297317362645896
1278,2020-01-31,125.36000061035156,121.87999725341795,125.08000183105469,122.12000274658205,890100,122.12000274658205,2.3976981570854004
1279,2020-02-03,123.01000213623048,121.19000244140624,121.19000244140624,121.7699966430664,822200,121.7699966430664,0.2866083324956651
1280,2020-02-04,125.06999969482422,122.61000061035156,123.3499984741211,123.3000030517578,707900,123.3000030517578,-1.2564724077115352
1281,2020-02-05,126.0,123.8499984741211,124.87999725341795,125.2300033569336,707400,125.2300033569336,-1.5652881244176748
1282,2020-02-06,125.81999969482422,123.29000091552734,125.81999969482422,123.5999984741211,679900,123.5999984741211,1.301608910898629
1283,2020-02-07,123.69000244140624,121.54000091552734,123.36000061035156,123.58000183105469,602500,123.58000183105469,0.016178514007500634
1284,2020-02-10,126.94000244140624,123.5199966430664,125.5,126.91000366210938,814700,126.91000366210938,-2.694612220193287
1285,2020-02-11,127.83999633789062,125.41000366210938,127.02999877929688,126.08999633789062,745100,126.08999633789062,0.6461329292858368
1286,2020-02-12,128.8800048828125,125.91999816894531,126.72000122070312,126.70999908447266,517900,126.70999908447266,-0.49171446156646254
1287,2020-02-13,128.5,125.0500030517578,125.4800033569336,128.22000122070312,536000,128.22000122070312,-1.191699271676112
1288,2020-02-14,127.95999908447266,126.62000274658205,127.75,127.51000213623048,453800,127.51000213623048,0.5537350473507885
1289,2020-02-18,128.30999755859378,126.88999938964844,127.31999969482422,127.6999969482422,645500,127.6999969482422,-0.14900384975974676
1290,2020-02-19,130.41000366210938,127.66000366210938,127.93000030517578,129.75,592700,129.75,-1.6053274085736122
1291,2020-02-20,133.08000183105472,129.27000427246094,129.5,132.85000610351562,653100,132.85000610351562,-2.389214723326108
1292,2020-02-21,133.42999267578122,130.67999267578122,132.16000366210938,133.36000061035156,601800,133.36000061035156,-0.383887454576821
1293,2020-02-24,131.6300048828125,129.0,129.52000427246094,130.25999450683594,856800,130.25999450683594,2.324539659064008
1294,2020-02-25,131.24000549316406,125.0199966430664,131.24000549316406,126.79000091552734,941800,126.79000091552734,2.6638981557200134
1295,2020-02-26,129.3800048828125,126.05999755859376,127.97000122070312,126.4499969482422,609300,126.4499969482422,0.2681630766070161
1296,2020-02-27,128.05000305175778,122.0,124.33000183105469,122.8000030517578,910400,122.8000030517578,2.886511652490113
1297,2020-02-28,122.97000122070312,117.81999969482422,120.5199966430664,119.9499969482422,1175400,119.9499969482422,2.3208518181505053
1298,2020-03-02,121.47000122070312,115.1500015258789,119.88999938964844,120.04000091552734,1189200,120.04000091552734,-0.07503457238433968
1299,2020-03-03,121.8000030517578,114.25,119.5999984741211,116.12999725341795,947000,116.12999725341795,3.2572506100369623
1300,2020-03-04,122.55999755859376,115.08999633789062,118.12000274658205,122.4000015258789,1252900,122.4000015258789,-5.399125480713306
1301,2020-03-05,121.58000183105469,117.23999786376952,119.7699966430664,118.8000030517578,959400,118.8000030517578,2.94117518728949
1302,2020-03-06,120.5,115.4499969482422,115.77999877929688,119.63999938964844,1134400,119.63999938964844,-0.7070676063237781
1303,2020-03-09,119.63999938964844,110.33000183105469,114.0,111.69000244140624,1284600,111.69000244140624,6.644932287528962
1304,2020-03-10,118.04000091552734,111.77999877929688,114.58000183105469,117.87999725341795,1108700,117.87999725341795,-5.542120759876477
1305,2020-03-11,115.58999633789062,107.18000030517578,114.7300033569336,107.8000030517578,1027700,107.8000030517578,8.551064163999108
1306,2020-03-12,104.55999755859376,96.61000061035156,101.08999633789062,98.33000183105469,1193200,98.33000183105469,8.784787525614723
1307,2020-03-13,105.77999877929688,98.19000244140624,103.22000122070312,105.6999969482422,1397900,105.6999969482422,-7.495164222462075
1308,2020-03-16,100.05999755859376,94.23999786376952,95.16999816894531,95.66000366210938,907200,95.66000366210938,9.498574811737297
1309,2020-03-17,97.58000183105469,87.16000366210938,97.33999633789062,93.12999725341795,1267400,93.12999725341795,2.644790206811949
1310,2020-03-18,93.83000183105469,79.77999877929688,88.75,90.5500030517578,1137900,90.5500030517578,2.770314912218542
1311,2020-03-19,101.23999786376952,86.51000213623047,89.05999755859375,98.33000183105469,1127800,98.33000183105469,-8.591936518047264
1312,2020-03-20,104.98999786376952,96.68000030517578,99.48999786376952,100.13999938964844,1193600,100.13999938964844,-1.840737846932608
1313,2020-03-23,105.36000061035156,97.62999725341795,100.7699966430664,98.6500015258789,1101100,98.6500015258789,1.4879147921420435
1314,2020-03-24,104.37999725341795,96.7699966430664,101.91000366210938,102.70999908447266,1313400,102.70999908447266,-4.11555752234701
